Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Tổng chi phí bảo hiểm,Tổng chi phí thuốc,Tổng chi phí thuốc BHYT
02/08/2025,75,Đồng Nai,26050,Phường An Bình,17201118.0,0.0,0.0
02/08/2025,75,Đồng Nai,26056,Phường Long Bình Tân,842019827.0,0.0,0.0
02/08/2025,75,Đồng Nai,26068,Phường Hóa An,42099931.0,0.0,0.0
02/08/2025,75,Đồng Nai,26095,Phường Suối Tre,531222692.89,0.0,0.0
02/08/2025,75,Đồng Nai,26188,Xã Thạnh Phú,38654379.0,0.0,0.0
02/08/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,662027506.76,0.0,0.0
02/08/2025,75,Đồng Nai,26272,Xã Hố Nai 3,214005148.0,0.0,0.0
02/08/2025,75,Đồng Nai,26296,Xã An Viễn,24597892.0,0.0,0.0
02/08/2025,75,Đồng Nai,26311,Xã Quang Trung,43063142.0,0.0,0.0
02/08/2025,75,Đồng Nai,26317,Xã Hưng Lộc,13166769.0,0.0,0.0
02/08/2025,75,Đồng Nai,26362,Xã Sông Ray,34386344.0,0.0,0.0
02/08/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,293956199.6,0.0,0.0
02/08/2025,75,Đồng Nai,26416,Xã Phước Bình,17048426.0,0.0,0.0
02/08/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,108598490.0,0.0,0.0
02/09/2025,75,Đồng Nai,25996,Phường Tân Phong,9721014.0,0.0,0.0
02/09/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
02/09/2025,75,Đồng Nai,26050,Phường An Bình,1073355.0,0.0,0.0
02/09/2025,75,Đồng Nai,26056,Phường Long Bình Tân,178369735.0,0.0,0.0
02/09/2025,75,Đồng Nai,26095,Phường Suối Tre,670234913.1,0.0,0.0
02/09/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,242586406.16,0.0,0.0
02/09/2025,75,Đồng Nai,26272,Xã Hố Nai 3,48683446.0,0.0,0.0
02/09/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,132800372.6,0.0,0.0
02/10/2023,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/10/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
03/01/2025,75,Đồng Nai,26080,Phường Xuân An,0.0,0.0,0.0
03/01/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
03/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
03/01/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
03/02/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,0.0
03/02/2025,75,Đồng Nai,26080,Phường Xuân An,0.0,0.0,0.0
03/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
03/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
03/02/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,26080,Phường Xuân An,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,26254,Xã Cây Gáo,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
03/03/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,0.0
03/04/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
03/05/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26362,Xã Sông Ray,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
03/05/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,0.0
