Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số ca chuyển tuyến,Số ca vượt tuyến,Lượt điều trị,Lượt tái khám,Lượt KCB BHYT,Số ca mắc mới
02/06/2025,75,Đồng Nai,25996,Phường Tân Phong,1.0,0.0,144.0,0.0,144.0,144.0
02/06/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,6.0,0.0,6.0,6.0
02/06/2025,75,Đồng Nai,26002,Phường Hố Nai,0.0,0.0,3.0,0.0,3.0,3.0
02/06/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,141.0,2.0,141.0,141.0
02/06/2025,75,Đồng Nai,26020,Phường Long Bình,0.0,0.0,56.0,0.0,56.0,56.0
02/06/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,527.0,8.0,527.0,527.0
02/06/2025,75,Đồng Nai,26035,Phường Tam Hòa,0.0,0.0,1.0,0.0,1.0,1.0
02/06/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,118.0,0.0,118.0,118.0
02/06/2025,75,Đồng Nai,26056,Phường Long Bình Tân,0.0,0.0,7.0,0.0,7.0,7.0
02/06/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,219.0,0.0,195.0,219.0
02/06/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,478.0,0.0,478.0,478.0
02/06/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,48.0,0.0,48.0,48.0
02/06/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,405.0,0.0,405.0,405.0
02/06/2025,75,Đồng Nai,26239,Xã Túc Trưng,0.0,0.0,134.0,0.0,134.0,134.0
02/06/2025,75,Đồng Nai,26272,Xã Hố Nai 3,18.0,0.0,758.0,0.0,758.0,758.0
02/06/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,38.0,0.0,38.0,38.0
02/06/2025,75,Đồng Nai,26299,Xã Gia Tân 1,2.0,0.0,27.0,0.0,27.0,27.0
02/06/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,33.0,0.0,33.0,33.0
02/06/2025,75,Đồng Nai,26317,Xã Hưng Lộc,2.0,0.0,135.0,0.0,135.0,135.0
02/06/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,628.0,0.0,628.0,628.0
02/06/2025,75,Đồng Nai,26362,Xã Sông Ray,3.0,0.0,110.0,0.0,110.0,110.0
02/06/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,2.0,0.0,535.0,0.0,535.0,535.0
02/06/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,231.0,0.0,231.0,231.0
02/06/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,36.0,0.0,36.0,36.0
02/06/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,13.0,0.0,13.0,13.0
02/06/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,71.0,0.0,71.0,71.0
02/06/2025,75,Đồng Nai,26452,Xã Suối Cát,34.0,0.0,710.0,58.0,710.0,710.0
02/06/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,396.0,0.0,396.0,396.0
02/06/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,98.0,0.0,98.0,98.0
02/07/2024,75,Đồng Nai,26035,Phường Tam Hòa,0.0,0.0,16.0,0.0,16.0,16.0
02/07/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,49.0,1.0,49.0,0.0
02/07/2025,75,Đồng Nai,25996,Phường Tân Phong,7.0,0.0,268.0,0.0,268.0,0.0
02/07/2025,75,Đồng Nai,26002,Phường Hố Nai,2.0,0.0,32.0,0.0,32.0,0.0
02/07/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,88.0,3.0,88.0,0.0
